,time_ilp,time_sat,list,num_of_operations,operations
0,0.07564187049865723,0.5295479297637941,"['1', '2', '6', '4', '5', '3']",2,"{4: [(1, 4, 1), (1, 4, 2), (3, 6, 4), (4, 5, 3)], 2: [(3, 6, 1), (4, 5, 2)]}"
1,0.7575480937957764,0.6968481540679932,"['4', '1', '3', '5', '2', '6']",3,"{4: [(1, 4, 1), (2, 3, 4), (3, 4, 3), (3, 5, 2)], 3: [(1, 2, 3), (2, 4, 1), (4, 5, 2)]}"
2,0.1784529685974121,0.6530530452728271,"['6', '4', '3', '5', '2', '1']",3,"{4: [(1, 3, 2), (1, 3, 4), (2, 4, 1), (3, 6, 3)], 3: [(1, 6, 3), (3, 4, 2), (4, 5, 1)]}"
3,0.3412320613861084,0.6637530326843262,"['3', '6', '4', '1', '2', '5']",3,"{4: [(1, 3, 4), (1, 4, 2), (2, 6, 3), (3, 5, 1)], 3: [(1, 3, 2), (2, 5, 3), (5, 6, 1)]}"
4,0.44116806983947754,0.6497600078582764,"['4', '6', '5', '3', '1', '2']",3,"{4: [(1, 4, 1), (2, 6, 2), (4, 5, 3), (4, 6, 4)], 3: [(1, 3, 2), (2, 6, 3), (3, 4, 1)]}"
5,0.6025600433349609,0.6620652675628662,"['4', '2', '5', '3', '1', '6']",3,"{4: [(1, 4, 1), (2, 3, 2), (3, 4, 4), (4, 5, 3)], 3: [(1, 3, 2), (3, 4, 1), (3, 5, 3)]}"
6,0.343808650970459,0.5750331878662109,"['2', '5', '1', '3', '6', '4']",4,"{4: [(1, 3, 4), (2, 4, 2), (2, 5, 3), (4, 6, 1)]}"
7,0.0957639217376709,0.7311930656433105,"['2', '1', '3', '6', '4', '5']",3,"{4: [(1, 2, 4), (3, 5, 1), (3, 6, 3), (5, 6, 2)], 3: [(1, 2, 1), (4, 5, 2), (4, 6, 3)]}"
8,0.17645692825317383,0.6565499305725098,"['1', '6', '2', '4', '5', '3']",3,"{4: [(2, 5, 3), (2, 6, 4), (3, 4, 2), (3, 5, 1)], 3: [(2, 3, 1), (2, 6, 3), (3, 5, 2)]}"
9,0.22815799713134766,0.7150208950042725,"['3', '4', '6', '5', '1', '2']",3,"{4: [(1, 4, 3), (1, 6, 1), (3, 4, 4), (5, 6, 2)], 3: [(1, 5, 2), (2, 6, 1), (3, 4, 3)]}"
