,time_ilp,time_sat,list,num_of_operations,operations
0,0.8154580593109131,0.2533249855041504,"['-3', '-4', '-2', '1']",4,"{6: [(1, 2, 3), (1, 2, 6), (2, 3, 5), (2, 4, 1), (2, 4, 4), (3, 3, 2)], 4: [(1, 2, 1), (1, 3, 2), (2, 2, 3), (2, 4, 4)]}"
1,0.7291357517242432,0.3298070430755615,"['3', '1', '2', '4']",3,"{6: [(1, 4, 2), (1, 4, 5), (2, 3, 1), (3, 3, 6), (3, 4, 4), (4, 4, 3)], 3: [(1, 1, 2), (1, 3, 1), (2, 3, 3)], 4: [(1, 2, 2), (1, 3, 3), (2, 4, 1), (3, 4, 4)]}"
2,0.08232998847961426,0.38916015625,"['2', '1', '-4', '-3']",3,"{6: [(1, 1, 6), (1, 2, 1), (1, 2, 4), (1, 2, 5), (2, 2, 2), (3, 4, 3)], 3: [(1, 3, 2), (1, 4, 3), (2, 4, 1)], 4: [(1, 1, 4), (1, 2, 2), (2, 2, 3), (3, 4, 1)]}"
3,0.2069082260131836,0.2879009246826172,"['2', '1', '4', '-3']",4,"{6: [(1, 1, 4), (1, 2, 5), (1, 3, 3), (1, 4, 6), (2, 3, 2), (2, 4, 1)], 4: [(1, 2, 3), (1, 3, 2), (2, 3, 4), (3, 4, 1)]}"
4,5.399057149887085,0.3512492179870605,"['2', '-4', '-1', '3']",4,"{8: [(1, 1, 4), (1, 1, 7), (1, 2, 3), (1, 3, 2), (3, 4, 1), (3, 4, 5), (3, 4, 6), (4, 4, 8)], 4: [(1, 2, 4), (1, 3, 2), (3, 4, 1), (4, 4, 3)], 5: [(1, 1, 5), (1, 3, 3), (2, 2, 4), (2, 4, 1), (3, 4, 2)]}"
5,0.7195000648498535,0.24274992942810056,"['2', '-1', '-3', '4']",3,"{5: [(1, 1, 4), (1, 2, 2), (3, 3, 1), (4, 4, 3), (4, 4, 5)], 3: [(1, 1, 3), (1, 2, 2), (3, 3, 1)]}"
6,2.182016134262085,0.2565040588378906,"['-4', '2', '1', '3']",4,"{6: [(1, 2, 3), (1, 3, 2), (2, 4, 1), (2, 4, 4), (2, 4, 5), (2, 4, 6)], 4: [(1, 2, 3), (1, 3, 2), (2, 4, 1), (2, 4, 4)]}"
7,0.12153196334838867,0.24799299240112305,"['-1', '-3', '-4', '-2']",4,"{4: [(1, 2, 2), (1, 3, 4), (2, 3, 3), (2, 4, 1)]}"
8,0.7306947708129883,0.2819809913635254,"['1', '-3', '-2', '-4']",2,"{4: [(1, 1, 2), (1, 1, 4), (2, 3, 1), (4, 4, 3)], 2: [(2, 3, 1), (4, 4, 2)]}"
9,3.190971851348877,0.2513759136199951,"['3', '-2', '-4', '-1']",4,"{6: [(1, 1, 1), (1, 1, 6), (1, 3, 2), (2, 2, 4), (2, 2, 5), (3, 4, 3)], 4: [(1, 4, 4), (2, 2, 1), (2, 3, 3), (3, 4, 2)]}"
