,time_ilp,time_sat,list,num_of_operations,operations
0,0.07552099227905273,0.33089518547058105,"['2', '3', '4', '5', '6', '1']",2,"{4: [(1, 3, 3), (2, 3, 2), (3, 6, 4), (4, 6, 1)], 2: [(1, 6, 2), (2, 6, 1)]}"
1,0.2957642078399658,0.3448531627655029,"['4', '6', '2', '1', '3', '5']",3,"{4: [(1, 3, 2), (2, 5, 1), (2, 6, 4), (3, 4, 3)], 3: [(1, 4, 3), (3, 5, 2), (5, 6, 1)]}"
2,0.2172081470489502,0.3265581130981445,"['3', '5', '1', '2', '4', '6']",3,"{4: [(1, 3, 4), (2, 5, 1), (3, 4, 2), (4, 5, 3)], 3: [(1, 3, 3), (2, 4, 2), (4, 5, 1)]}"
3,0.08155393600463867,0.3655209541320801,"['3', '4', '6', '1', '2', '5']",3,"{4: [(1, 3, 1), (2, 4, 3), (3, 5, 2), (3, 6, 4)], 3: [(1, 4, 3), (2, 5, 2), (5, 6, 1)]}"
4,0.6728019714355469,0.4430201053619385,"['2', '6', '3', '4', '1', '5']",4,"{4: [(1, 3, 3), (2, 3, 2), (2, 6, 4), (3, 5, 1)]}"
5,0.039373159408569336,0.4732108116149902,"['4', '3', '2', '5', '1', '6']",2,"{4: [(1, 5, 4), (2, 4, 2), (3, 4, 3), (4, 5, 1)], 2: [(1, 4, 1), (4, 5, 2)]}"
6,0.9480383396148682,0.42391204833984375,"['2', '6', '1', '4', '5', '3']",4,"{4: [(1, 3, 2), (2, 3, 1), (2, 6, 4), (3, 5, 3)]}"
7,0.07411789894104004,0.4903371334075928,"['2', '3', '1', '6', '5', '4']",3,"{3: [(1, 3, 3), (2, 3, 2), (4, 6, 1)]}"
8,0.1291053295135498,0.2672617435455322,"['6', '1', '3', '5', '2', '4']",4,"{4: [(1, 2, 4), (2, 4, 2), (4, 5, 3), (4, 6, 1)]}"
9,0.13864803314208984,0.3472623825073242,"['5', '1', '2', '6', '4', '3']",3,"{4: [(1, 2, 4), (2, 5, 1), (3, 5, 3), (4, 6, 2)], 3: [(1, 3, 2), (1, 4, 3), (3, 6, 1)]}"
