,elapsed_time,list,num_of_clauses,num_of_operations
0,39.18367791175842,"['6', '7', '9', '8', '1', '10', '5', '2', '3', '4']",827412,5
1,55.42233180999756,"['9', '6', '5', '10', '4', '1', '2', '8', '7', '3']",827412,4
2,20.0566189289093,"['5', '8', '3', '10', '2', '9', '4', '1', '6', '7']",827412,4
3,36.090445041656494,"['2', '9', '7', '1', '3', '6', '5', '10', '8', '4']",827412,5
4,31.817695140838623,"['10', '6', '5', '1', '2', '8', '7', '4', '3', '9']",827412,4
5,24.026570081710815,"['3', '5', '8', '10', '6', '7', '2', '9', '4', '1']",827412,4
6,32.099411964416504,"['5', '1', '8', '4', '6', '2', '9', '10', '3', '7']",827412,5
7,14.707184076309204,"['1', '8', '7', '3', '4', '5', '6', '10', '9', '2']",827412,3
8,37.1312301158905,"['1', '3', '7', '9', '2', '10', '4', '6', '8', '5']",827412,5
9,22.31883716583252,"['5', '9', '1', '8', '4', '2', '6', '7', '10', '3']",827412,5
