,elapsed_time,list,num_of_clauses,num_of_operations
0,313.1422829627991,"['9', '11', '3', '2', '5', '7', '1', '8', '12', '4', '10', '6']",2550798,5
1,170.7967209815979,"['11', '9', '8', '5', '3', '7', '6', '12', '1', '2', '10', '4']",2550798,5
2,181.19834232330322,"['12', '8', '1', '3', '9', '6', '10', '5', '2', '4', '7', '11']",2550798,5
3,149.41479516029358,"['1', '12', '9', '2', '6', '10', '8', '3', '4', '5', '11', '7']",2550798,4
4,404.5156807899475,"['11', '4', '3', '5', '7', '10', '8', '2', '9', '1', '6', '12']",2550798,5
5,256.9920518398285,"['10', '6', '5', '2', '7', '4', '1', '12', '8', '9', '3', '11']",2550798,5
6,129.1300880908966,"['7', '8', '4', '6', '11', '9', '10', '3', '2', '12', '5', '1']",2550798,4
7,2214.6887781620026,"['11', '6', '3', '8', '4', '10', '12', '2', '7', '9', '1', '5']",2550798,4
8,538.8313658237457,"['6', '12', '9', '10', '8', '7', '3', '11', '1', '4', '2', '5']",2550798,5
9,345.03317403793335,"['11', '9', '4', '6', '2', '3', '7', '12', '1', '10', '8', '5']",2550798,4
