,details,elapsed_time,list,num_of_clauses,num_of_operations
0,"{6: (True, 0.6087250709533691), 3: (False, 0.2801799774169922), 4: (True, 0.6194057464599609)}",1.7825322151184082,"['4', '3', '2', '6', '7', '1', '5']",89583,3
1,"{6: (True, 1.060349941253662), 4: (False, 0.34563302993774414), 5: (True, 0.35172200202941895)}",2.2802071571350098,"['3', '6', '1', '7', '2', '4', '5']",89583,4
2,"{6: (True, 0.38019776344299316), 3: (False, 0.244948148727417), 4: (False, 0.33940815925598145)}",1.1920361518859863,"['5', '4', '1', '7', '6', '2', '3']",89583,4
3,"{6: (True, 0.4576742649078369), 4: (False, 0.33585500717163086), 5: (True, 0.41607213020324707)}",1.4602627754211426,"['6', '5', '2', '4', '1', '7', '3']",89583,4
4,"{6: (True, 0.3992269039154053), 4: (False, 0.3557713031768799), 5: (True, 0.47116684913635254)}",1.465057134628296,"['7', '6', '1', '4', '2', '3', '5']",89583,4
5,"{6: (True, 0.41925501823425293), 3: (False, 0.26137495040893555), 4: (True, 0.40187597274780273)}",1.3531770706176758,"['7', '6', '5', '1', '3', '4', '2']",89583,3
6,"{6: (True, 0.4489150047302246), 3: (False, 0.18266963958740234), 4: (False, 0.3205292224884033)}",1.197533130645752,"['6', '5', '7', '4', '3', '1', '2']",89583,4
7,"{6: (True, 0.3971598148345947), 4: (False, 0.40555882453918457), 5: (True, 0.5068049430847168)}",1.5520620346069336,"['7', '6', '4', '1', '2', '5', '3']",89583,4
8,"{6: (True, 0.4456000328063965), 4: (False, 0.4704101085662842), 5: (True, 0.3812122344970703)}",1.564605951309204,"['4', '3', '5', '7', '2', '1', '6']",89583,4
9,"{6: (True, 0.4574401378631592), 3: (False, 0.19743919372558594), 4: (True, 0.3535590171813965)}",1.3321619033813477,"['5', '1', '6', '7', '4', '3', '2']",89583,3
10,"{6: (True, 0.5595049858093262), 3: (False, 0.21292591094970703), 4: (False, 0.36482715606689453)}",1.3796718120574951,"['3', '1', '2', '7', '6', '4', '5']",89583,4
11,"{6: (True, 0.4265327453613281), 4: (True, 0.4523599147796631), 5: (True, 0.3667011260986328), 3: (False, 0.1920909881591797)}",1.6881582736968994,"['7', '2', '6', '1', '3', '4', '5']",89583,3
12,"{6: (True, 0.3735051155090332), 3: (False, 0.19786715507507324), 4: (True, 0.3011488914489746)}",1.1111292839050293,"['5', '2', '3', '4', '6', '1', '7']",89583,3
13,"{6: (True, 0.4356961250305176), 4: (False, 0.33110880851745605), 5: (True, 0.3538179397583008)}",1.4300110340118408,"['2', '1', '3', '6', '4', '7', '5']",89583,4
14,"{6: (True, 0.3562350273132324), 3: (False, 0.20421600341796875), 4: (True, 0.3096959590911865)}",1.1311521530151367,"['1', '2', '5', '3', '6', '4', '7']",89583,3
15,"{2: (True, 0.16466307640075684)}",0.41208982467651367,"['1', '3', '2', '4', '5', '6', '7']",89583,1
16,"{6: (True, 0.44618773460388184), 4: (True, 0.36440610885620117), 5: (True, 0.4004349708557129), 3: (False, 0.23455595970153809)}",1.8047847747802734,"['4', '7', '2', '3', '6', '5', '1']",89583,3
17,"{6: (True, 0.38429784774780273), 4: (True, 0.3259410858154297), 5: (True, 0.3144237995147705)}",1.2779560089111328,"['7', '2', '5', '4', '1', '3', '6']",89583,3
18,"{6: (True, 0.4293639659881592), 3: (False, 0.1929309368133545), 4: (False, 0.34291696548461914)}",1.2571029663085938,"['4', '5', '3', '6', '7', '2', '1']",89583,4
19,"{6: (True, 0.489987850189209), 4: (False, 0.35396409034729004), 5: (True, 0.3991999626159668)}",1.4876363277435303,"['1', '4', '3', '6', '2', '7', '5']",89583,4
20,"{6: (True, 0.39182090759277344), 4: (True, 0.36121511459350586), 5: (True, 0.37447500228881836), 3: (False, 0.2414247989654541)}",1.5974640846252441,"['1', '6', '3', '2', '4', '7', '5']",89583,3
21,"{6: (True, 0.34932374954223633), 4: (False, 0.3454289436340332), 5: (True, 0.3776981830596924)}",1.3648598194122314,"['4', '2', '3', '7', '5', '1', '6']",89583,4
22,"{6: (True, 0.4187047481536865), 3: (False, 0.22232794761657715), 4: (True, 0.3116581439971924)}",1.250626802444458,"['3', '2', '5', '1', '4', '6', '7']",89583,3
23,"{6: (True, 0.4281890392303467), 2: (False, 0.08366084098815918), 3: (True, 0.22738981246948242)}",0.9927828311920166,"['1', '5', '4', '3', '7', '6', '2']",89583,2
24,"{6: (True, 0.45451974868774414), 4: (False, 0.3522319793701172), 5: (True, 0.39792323112487793)}",1.4430992603302002,"['4', '2', '5', '6', '1', '7', '3']",89583,4
25,"{6: (True, 0.4142940044403076), 4: (False, 0.3157830238342285), 5: (True, 0.3786759376525879)}",1.3488256931304932,"['5', '1', '6', '4', '7', '2', '3']",89583,4
26,"{6: (True, 0.48706483840942383), 4: (False, 0.3162109851837158), 5: (True, 0.34955382347106934)}",1.4018239974975586,"['6', '3', '4', '7', '5', '1', '2']",89583,4
27,"{6: (True, 0.41542601585388184), 3: (False, 0.21434593200683594), 4: (True, 0.33164381980895996)}",1.2541179656982422,"['6', '2', '1', '4', '5', '3', '7']",89583,3
28,"{6: (True, 0.4541361331939697), 4: (False, 0.32447290420532227), 5: (True, 0.41826891899108887)}",1.441051959991455,"['4', '3', '1', '5', '7', '2', '6']",89583,4
29,"{6: (True, 0.40117597579956055), 4: (False, 0.3249809741973877), 5: (True, 0.38655710220336914)}",1.3586900234222412,"['2', '5', '7', '1', '4', '6', '3']",89583,4
30,"{6: (True, 0.41797518730163574), 4: (False, 0.3917531967163086), 5: (True, 0.5200257301330566)}",1.5485408306121826,"['5', '4', '1', '3', '7', '2', '6']",89583,4
31,"{6: (True, 0.42444705963134766), 3: (False, 0.23745489120483398), 4: (True, 0.38456010818481445)}",1.2991399765014648,"['4', '5', '1', '2', '7', '6', '3']",89583,3
