,details,elapsed_time,list,num_of_clauses,num_of_operations,operations
0,"{6: (True, 0.1492009162902832), 4: (False, 0.15298008918762207), 5: (True, 0.21274995803833008)}",0.7307488918304443,"['6', '4', '2', '1', '5', '7', '3']",89583,4,"{5: [(1, 3, 2), (2, 5, 3), (3, 5, 4), (3, 6, 1), (6, 7, 5)], 4: [(1, 4, 4), (3, 4, 1), (4, 6, 2), (6, 7, 3)]}"
1,"{6: (True, 0.15250301361083984), 4: (False, 0.16452312469482422), 5: (True, 0.1463789939880371)}",0.6901440620422363,"['6', '5', '1', '4', '3', '7', '2']",89583,4,"{5: [(1, 3, 5), (2, 5, 1), (3, 5, 3), (3, 6, 4), (5, 7, 2)], 4: [(1, 3, 3), (2, 3, 2), (2, 6, 1), (6, 7, 4)]}"
2,"{6: (True, 0.1865980625152588), 3: (False, 0.1133580207824707), 4: (True, 0.15580391883850098)}",0.6634697914123535,"['5', '4', '7', '6', '1', '3', '2']",89583,3,"{5: [(1, 2, 4), (1, 3, 1), (1, 7, 5), (4, 6, 3), (5, 7, 2)], 3: [(1, 5, 1), (3, 4, 2), (3, 7, 3)]}"
3,"{6: (True, 0.15715408325195312), 4: (False, 0.15257692337036133), 5: (True, 0.1483628749847412)}",0.6741149425506592,"['2', '1', '5', '6', '4', '7', '3']",89583,4,"{5: [(1, 2, 5), (3, 5, 1), (4, 6, 3), (5, 6, 4), (5, 7, 2)], 4: [(1, 2, 1), (3, 7, 4), (4, 5, 3), (5, 7, 2)]}"
4,"{6: (True, 0.1671280860900879), 4: (False, 0.20363593101501465), 5: (True, 0.14743709564208984)}",0.7427389621734619,"['1', '4', '7', '3', '5', '2', '6']",89583,4,"{5: [(2, 3, 3), (3, 4, 1), (3, 4, 4), (3, 7, 5), (4, 6, 2)], 4: [(2, 4, 3), (3, 6, 1), (3, 7, 4), (4, 5, 2)]}"
5,"{6: (True, 0.18613886833190918), 4: (False, 0.13974690437316895), 5: (True, 0.2507321834564209)}",0.80684494972229,"['2', '4', '5', '1', '6', '7', '3']",89583,4,"{5: [(1, 3, 3), (2, 3, 2), (2, 5, 4), (3, 6, 1), (6, 7, 5)], 4: [(1, 3, 4), (1, 5, 1), (3, 6, 3), (3, 7, 2)]}"
6,"{6: (True, 0.1628270149230957), 2: (False, 0.10419511795043945), 3: (False, 0.12582993507385254), 4: (True, 0.11920285224914551)}",0.8113076686859131,"['3', '2', '1', '7', '6', '4', '5']",89583,3,"{5: [(1, 3, 1), (3, 4, 3), (3, 4, 4), (4, 5, 2), (4, 7, 5)], 3: [(1, 3, 1), (4, 5, 2), (4, 7, 3)]}"
7,"{6: (True, 0.14297986030578613), 4: (False, 0.15288496017456055), 5: (True, 0.14306926727294922)}",0.6956808567047119,"['4', '1', '3', '5', '7', '6', '2']",89583,4,"{5: [(1, 3, 2), (2, 4, 4), (2, 5, 3), (3, 4, 1), (5, 7, 5)], 4: [(1, 2, 4), (2, 4, 1), (4, 5, 2), (5, 7, 3)]}"
8,"{6: (True, 0.18106293678283691), 4: (False, 0.15530014038085938), 5: (True, 0.23612403869628906)}",0.8129439353942871,"['5', '6', '3', '2', '7', '1', '4']",89583,4,"{5: [(1, 3, 2), (2, 6, 1), (3, 6, 4), (5, 6, 3), (5, 7, 5)], 4: [(1, 6, 4), (2, 4, 2), (3, 4, 3), (4, 7, 1)]}"
9,"{6: (True, 0.1505751609802246), 4: (False, 0.1672840118408203), 5: (True, 0.1607527732849121)}",0.7304081916809082,"['3', '5', '1', '4', '2', '7', '6']",89583,4,"{5: [(1, 3, 1), (2, 3, 3), (3, 5, 2), (3, 5, 4), (6, 7, 5)], 4: [(1, 3, 1), (2, 5, 2), (3, 4, 3), (6, 7, 4)]}"
