,details,elapsed_time,list,num_of_clauses,num_of_operations,operations
0,"{1: (False, 0.8837490081787109), 17: (True, 23.47015690803528), 10: (True, 246.72627520561218), 11: (True, 50.307697057724), 6: (False, 23.389262914657593), 7: (True, 11.723120927810669)}",358.45110511779785,"['-5', '3', '9', '1', '2', '7', '-8', '4', '-6']",1001517,6,"{16: [(1, 3, 12), (1, 5, 9), (1, 8, 8), (1, 9, 2), (2, 4, 4), (2, 5, 3), (2, 9, 14), (3, 7, 7), (3, 8, 10), (4, 5, 16), (4, 9, 15), (5, 6, 6), (5, 7, 11), (5, 9, 1), (5, 9, 5), (7, 9, 13)], 9: [(1, 3, 9), (1, 7, 6), (2, 9, 7), (3, 4, 2), (3, 8, 4), (4, 7, 3), (4, 9, 5), (6, 9, 1), (7, 9, 8)], 10: [(1, 3, 10), (1, 9, 3), (2, 3, 4), (3, 4, 7), (3, 7, 1), (3, 7, 8), (4, 5, 2), (4, 7, 5), (4, 9, 9), (5, 7, 6)], 6: [(1, 5, 2), (2, 3, 3), (3, 6, 5), (6, 8, 6), (6, 9, 1), (7, 7, 4)]}"
1,"{1: (False, 1.9457578659057617), 18: (True, 699.626492023468), 11: (True, 347.72111678123474), 12: (True, 108.37757205963135), 7: (False, 398.10853910446167), 8: (True, 91.53414607048035)}",1650.8405261039734,"['-2', '7', '3', '5', '-1', '6', '8', '-4', '9']",1063907,7,"{17: [(1, 2, 1), (1, 3, 4), (1, 4, 5), (1, 4, 12), (1, 5, 16), (1, 8, 15), (1, 9, 11), (2, 7, 13), (3, 8, 6), (4, 8, 8), (4, 8, 14), (4, 9, 7), (5, 7, 10), (5, 9, 9), (7, 9, 2), (7, 9, 3), (8, 9, 17)], 10: [(1, 2, 10), (1, 7, 1), (2, 6, 9), (3, 5, 6), (3, 6, 7), (4, 4, 3), (4, 8, 4), (5, 8, 2), (8, 9, 5), (8, 9, 8)], 11: [(1, 5, 8), (1, 6, 1), (1, 6, 3), (1, 6, 6), (1, 6, 9), (2, 4, 7), (2, 7, 5), (2, 9, 2), (4, 8, 11), (5, 8, 4), (8, 9, 10)], 7: [(1, 5, 7), (2, 6, 1), (2, 6, 6), (3, 7, 3), (6, 7, 2), (6, 8, 5), (7, 8, 4)]}"
2,"{1: (False, 1.208150863647461), 16: (True, 358.57454204559326), 9: (True, 82.53519797325134), 10: (True, 121.50947594642639), 6: (False, 17.907647371292114), 7: (False, 141.08872294425964), 8: (False, 2204.1674399375916)}",2929.3461759090424,"['-6', '-9', '-5', '4', '-8', '7', '2', '3', '1']",939127,8,"{15: [(1, 3, 15), (1, 5, 10), (1, 5, 12), (1, 8, 9), (2, 3, 5), (2, 4, 6), (2, 9, 3), (3, 7, 4), (3, 7, 14), (3, 9, 2), (6, 7, 1), (6, 8, 13), (6, 9, 7), (8, 9, 8), (8, 9, 11)], 8: [(1, 3, 5), (1, 5, 4), (2, 5, 7), (2, 7, 3), (2, 8, 6), (2, 9, 8), (4, 4, 1), (7, 8, 2)], 9: [(1, 2, 4), (1, 5, 9), (1, 9, 2), (2, 4, 7), (2, 5, 1), (2, 9, 6), (3, 4, 3), (4, 9, 8), (7, 7, 5)]}"
3,"{1: (False, 0.8916783332824707), 17: (True, 642.6628568172455), 10: (True, 91.43502974510193), 11: (True, 60.56646704673767), 6: (False, 12.51205587387085), 7: (False, 155.33336114883423), 8: (True, 18.350646018981934), 9: (True, 58.330227851867676)}",1041.8170537948608,"['-3', '5', '-7', '-6', '-9', '-2', '1', '-4', '-8']",1001517,7,"{16: [(1, 1, 4), (1, 2, 6), (1, 5, 5), (1, 5, 16), (1, 6, 10), (1, 8, 12), (1, 9, 14), (2, 4, 9), (2, 8, 7), (2, 9, 8), (2, 9, 13), (3, 6, 2), (4, 5, 11), (4, 7, 1), (6, 9, 3), (8, 8, 15)], 9: [(1, 1, 9), (1, 5, 7), (2, 4, 1), (3, 8, 2), (3, 9, 8), (4, 9, 6), (6, 9, 5), (7, 7, 3), (7, 8, 4)], 10: [(1, 6, 5), (1, 6, 9), (1, 8, 6), (2, 4, 1), (2, 8, 7), (3, 8, 3), (5, 5, 10), (5, 9, 8), (6, 9, 4), (9, 9, 2)], 7: [(1, 5, 5), (1, 8, 1), (2, 3, 3), (5, 6, 4), (5, 9, 6), (7, 7, 7), (7, 8, 2)], 8: [(1, 4, 6), (2, 3, 1), (2, 4, 4), (2, 6, 8), (3, 3, 2), (3, 8, 7), (6, 7, 5), (8, 9, 3)]}"
4,"{1: (False, 0.8249669075012207), 16: (True, 252.37281107902527), 9: (True, 114.20331120491028), 10: (True, 37.28291702270508), 6: (False, 12.502127885818481), 7: (False, 109.28375005722046), 8: (False, 1878.1183421611786)}",2406.067062854767,"['3', '1', '4', '5', '-2', '-7', '-8', '-9', '6']",939127,8,"{15: [(1, 3, 5), (2, 7, 3), (2, 8, 12), (3, 5, 9), (3, 6, 1), (3, 8, 6), (3, 8, 13), (3, 9, 2), (3, 9, 11), (4, 8, 8), (4, 8, 14), (5, 6, 7), (6, 7, 4), (6, 9, 15), (7, 9, 10)], 8: [(1, 4, 8), (1, 5, 1), (3, 9, 5), (4, 9, 6), (5, 7, 2), (6, 8, 3), (7, 9, 4), (9, 9, 7)], 9: [(1, 3, 1), (1, 5, 5), (1, 7, 7), (1, 7, 9), (2, 8, 6), (2, 8, 8), (2, 9, 2), (5, 9, 4), (8, 8, 3)]}"
5,"{1: (False, 0.9258480072021484), 18: (True, 352.1947429180145), 11: (True, 292.30086493492126), 12: (True, 65.13396000862122), 7: (False, 120.89843726158142), 8: (False, 2120.2049431800842), 9: (True, 96.44939398765564), 10: (True, 784.3665430545807)}",3834.2062690258026,"['-2', '-4', '5', '-7', '9', '1', '8', '3', '6']",1063907,8,"{17: [(1, 2, 17), (1, 4, 7), (1, 9, 3), (2, 3, 1), (2, 4, 4), (2, 4, 13), (2, 5, 9), (2, 7, 8), (2, 8, 12), (2, 8, 14), (2, 9, 15), (3, 8, 2), (3, 8, 5), (3, 9, 6), (3, 9, 11), (5, 9, 16), (7, 9, 10)], 10: [(1, 6, 7), (1, 8, 3), (2, 3, 4), (2, 6, 2), (2, 6, 6), (2, 6, 9), (3, 8, 5), (3, 9, 10), (4, 7, 8), (5, 9, 1)], 11: [(1, 2, 4), (2, 2, 11), (2, 8, 7), (2, 8, 9), (3, 7, 5), (3, 9, 8), (6, 7, 2), (7, 9, 3), (8, 9, 6), (8, 9, 10), (9, 9, 1)], 8: [(1, 4, 8), (1, 6, 2), (3, 3, 4), (4, 5, 3), (5, 7, 6), (6, 7, 1), (7, 8, 7), (7, 9, 5)], 9: [(1, 7, 9), (1, 8, 3), (2, 2, 6), (2, 7, 7), (3, 9, 8), (4, 6, 2), (4, 7, 4), (5, 7, 1), (7, 8, 5)]}"
6,"{1: (False, 0.8195388317108154), 16: (True, 233.0360929965973), 9: (True, 66.07471585273743), 10: (True, 389.7805120944977), 6: (False, 13.49540901184082), 7: (False, 129.73623204231262), 8: (False, 2182.8574209213257)}",3017.2905611991882,"['1', '4', '-9', '2', '7', '-6', '5', '-8', '-3']",939127,8,"{15: [(1, 3, 2), (1, 4, 10), (1, 9, 1), (2, 3, 15), (2, 5, 4), (2, 6, 8), (2, 9, 12), (3, 5, 5), (3, 8, 6), (4, 8, 9), (5, 6, 3), (5, 7, 14), (5, 9, 11), (5, 9, 13), (8, 9, 7)], 8: [(2, 4, 3), (2, 4, 7), (2, 8, 6), (4, 6, 2), (4, 8, 5), (5, 9, 1), (7, 7, 4), (7, 9, 8)], 9: [(2, 6, 2), (3, 6, 8), (3, 7, 7), (4, 6, 1), (4, 7, 5), (5, 9, 9), (7, 8, 6), (7, 9, 4), (9, 9, 3)]}"
7,"{1: (False, 0.8837430477142334), 17: (True, 187.66124176979065), 10: (True, 82.56655383110046), 11: (True, 116.76729011535645), 6: (False, 11.326321840286255), 7: (False, 126.80124998092651), 8: (True, 43.25316882133484), 9: (True, 125.67550587654114)}",696.5612132549286,"['-7', '-3', '-2', '-8', '-5', '4', '-6', '-9', '1']",1001517,7,"{16: [(1, 3, 2), (1, 3, 3), (1, 6, 14), (1, 7, 8), (1, 8, 10), (2, 3, 1), (2, 4, 5), (2, 6, 12), (2, 8, 15), (3, 6, 6), (3, 6, 11), (4, 4, 13), (4, 8, 4), (4, 8, 7), (4, 9, 16), (6, 9, 9)], 9: [(1, 1, 1), (1, 3, 5), (1, 3, 6), (1, 7, 2), (2, 7, 8), (3, 9, 7), (4, 4, 4), (5, 9, 9), (7, 8, 3)], 10: [(1, 2, 6), (1, 6, 2), (1, 8, 4), (2, 5, 3), (2, 5, 10), (2, 9, 7), (3, 4, 5), (5, 9, 1), (7, 9, 8), (9, 9, 9)], 7: [(1, 3, 6), (1, 8, 1), (2, 5, 3), (2, 5, 7), (2, 9, 5), (4, 9, 2), (5, 8, 4)], 8: [(1, 1, 5), (1, 4, 7), (1, 8, 4), (2, 4, 6), (2, 5, 2), (4, 6, 3), (5, 6, 1), (8, 9, 8)]}"
8,"{1: (False, 0.9834640026092529), 19: (True, 200.40937495231628), 11: (True, 263.9910831451416), 12: (True, 19.715880870819092), 7: (False, 105.92861199378967), 8: (False, 7127.483097076416), 9: (True, 120.47629523277283), 10: (True, 315.9437439441681)}",8156.766206264496,"['-4', '2', '-7', '3', '-5', '-1', '9', '-6', '-8']",1126297,8,"{18: [(1, 2, 3), (1, 2, 14), (1, 5, 12), (1, 6, 18), (1, 7, 7), (1, 7, 8), (2, 6, 2), (2, 7, 10), (2, 8, 6), (3, 4, 13), (3, 6, 4), (4, 9, 9), (4, 9, 15), (5, 6, 11), (5, 8, 5), (5, 9, 16), (6, 6, 1), (6, 8, 17)], 10: [(1, 3, 4), (1, 7, 2), (2, 8, 10), (3, 4, 3), (3, 6, 6), (4, 6, 8), (6, 7, 7), (6, 8, 5), (8, 8, 9), (8, 9, 1)], 11: [(1, 3, 4), (1, 5, 11), (1, 7, 9), (1, 8, 2), (2, 8, 1), (2, 9, 3), (3, 9, 8), (4, 8, 7), (4, 9, 10), (6, 9, 6), (7, 8, 5)], 8: [(1, 5, 3), (1, 8, 1), (1, 8, 6), (2, 4, 8), (2, 8, 5), (3, 6, 2), (4, 9, 7), (7, 9, 4)], 9: [(1, 6, 9), (2, 5, 2), (2, 8, 6), (3, 6, 1), (3, 7, 7), (3, 8, 5), (4, 5, 4), (5, 9, 3), (5, 9, 8)]}"
9,"{1: (False, 0.9844598770141602), 19: (True, 119.76157808303833), 11: (True, 79.12430715560913), 12: (True, 58.939614057540894), 7: (False, 141.11993598937988), 8: (True, 11.8961181640625)}",413.64814710617065,"['-4', '7', '2', '9', '-5', '1', '6', '8', '3']",1126297,7,"{18: [(1, 7, 14), (1, 8, 12), (1, 8, 15), (1, 8, 16), (2, 7, 8), (2, 7, 18), (2, 9, 9), (3, 4, 6), (4, 6, 2), (4, 7, 5), (4, 9, 13), (5, 8, 3), (5, 9, 10), (5, 9, 17), (6, 6, 7), (6, 8, 11), (6, 9, 1), (7, 8, 4)], 10: [(1, 1, 7), (1, 2, 3), (1, 5, 1), (2, 3, 6), (2, 6, 5), (2, 6, 10), (2, 7, 8), (4, 8, 2), (4, 9, 9), (6, 6, 4)], 11: [(1, 1, 5), (1, 3, 8), (1, 7, 3), (2, 5, 11), (3, 4, 6), (3, 7, 10), (3, 9, 7), (4, 5, 4), (4, 5, 9), (4, 9, 2), (5, 7, 1)], 7: [(1, 4, 1), (2, 9, 6), (3, 4, 7), (3, 7, 4), (5, 6, 5), (7, 9, 3), (8, 9, 2)]}"
