,details,elapsed_time,list,num_of_clauses,num_of_operations,operations
0,"{8: (True, 5.1724419593811035), 6: (False, 20.639463901519775), 7: (True, 11.821845054626465)}",38.267590045928955,"['2', '3', '8', '5', '7', '9', '1', '4', '6']",430413,6,"{7: [(1, 6, 7), (1, 8, 3), (2, 4, 4), (3, 8, 6), (3, 9, 5), (4, 8, 1), (8, 9, 2)], 6: [(1, 7, 6), (2, 6, 2), (3, 4, 5), (4, 8, 4), (5, 6, 3), (6, 9, 1)]}"
1,"{8: (True, 3.4588449001312256), 5: (False, 2.521285057067871), 6: (True, 4.858633279800415)}",11.550961017608643,"['9', '3', '1', '7', '8', '5', '4', '6', '2']",430413,5,"{7: [(1, 2, 6), (2, 3, 7), (2, 9, 2), (3, 6, 4), (3, 8, 5), (4, 5, 1), (4, 7, 3)], 5: [(1, 5, 3), (1, 7, 5), (2, 7, 2), (6, 8, 1), (7, 9, 4)]}"
2,"{8: (True, 1.009842872619629), 5: (False, 3.707498073577881), 6: (True, 0.8812880516052246)}",6.271986961364746,"['1', '4', '9', '8', '5', '3', '7', '6', '2']",430413,5,"{7: [(2, 3, 4), (3, 4, 1), (3, 9, 7), (4, 5, 3), (4, 5, 5), (4, 6, 2), (5, 7, 6)], 5: [(2, 4, 2), (3, 4, 3), (3, 9, 5), (4, 6, 4), (5, 7, 1)]}"
3,"{8: (True, 3.725620985031128), 6: (False, 28.810959815979004), 7: (True, 8.55814504623413)}",41.730690002441406,"['6', '3', '7', '2', '5', '8', '9', '4', '1']",430413,6,"{7: [(1, 3, 1), (1, 4, 5), (2, 3, 7), (2, 5, 6), (3, 5, 2), (4, 8, 4), (5, 9, 3)], 6: [(1, 6, 1), (2, 5, 5), (3, 8, 2), (4, 6, 6), (5, 7, 3), (7, 9, 4)]}"
4,"{8: (True, 3.2445340156555176), 5: (True, 0.8923022747039795), 6: (True, 0.9118540287017822), 4: (False, 0.781329870223999)}",6.495603084564209,"['3', '8', '7', '6', '9', '4', '2', '1', '5']",430413,4,"{6: [(1, 8, 6), (1, 9, 3), (1, 9, 5), (2, 7, 4), (4, 8, 1), (7, 9, 2)], 4: [(1, 8, 4), (3, 8, 3), (4, 8, 1), (7, 9, 2)], 5: [(1, 2, 2), (2, 3, 1), (2, 8, 3), (5, 9, 5), (6, 8, 4)]}"
5,"{8: (True, 1.0655062198638916), 5: (False, 5.456060886383057), 6: (True, 9.951393842697144)}",17.168049097061157,"['9', '7', '8', '5', '3', '1', '2', '6', '4']",430413,5,"{7: [(1, 3, 2), (1, 9, 7), (2, 3, 4), (3, 4, 1), (3, 6, 3), (4, 6, 6), (7, 8, 5)], 5: [(1, 4, 3), (1, 9, 4), (2, 3, 5), (3, 5, 2), (5, 6, 1)]}"
6,"{8: (True, 3.6016509532928467), 5: (True, 2.5097849369049072), 6: (True, 0.981992244720459), 4: (False, 0.8254809379577637)}",8.570559978485107,"['7', '6', '8', '5', '1', '9', '4', '3', '2']",430413,4,"{7: [(1, 2, 4), (1, 2, 6), (1, 4, 2), (1, 8, 3), (2, 3, 5), (6, 7, 1), (6, 9, 7)], 4: [(1, 7, 1), (3, 4, 3), (4, 8, 2), (6, 9, 4)], 5: [(1, 6, 3), (2, 9, 1), (3, 4, 5), (3, 7, 2), (4, 7, 4)]}"
7,"{8: (True, 1.0167031288146973), 6: (False, 21.076148986816406), 7: (True, 4.327310800552368)}",27.07200312614441,"['9', '3', '7', '5', '1', '8', '2', '4', '6']",430413,6,"{7: [(1, 9, 5), (2, 3, 2), (2, 4, 3), (4, 5, 6), (4, 8, 1), (4, 8, 4), (5, 9, 7)], 6: [(1, 7, 2), (1, 9, 6), (2, 4, 3), (3, 6, 4), (4, 8, 5), (6, 7, 1)]}"
8,"{8: (True, 5.251266002655029), 5: (False, 5.239451169967651), 6: (False, 22.67461109161377), 7: (True, 0.9153327941894531)}",34.80568504333496,"['3', '1', '5', '9', '8', '4', '6', '7', '2']",430413,6,"{7: [(1, 3, 4), (1, 5, 7), (1, 7, 2), (2, 8, 6), (5, 8, 1), (6, 9, 5), (7, 9, 3)], 6: [(1, 2, 3), (2, 4, 2), (3, 4, 1), (3, 5, 4), (4, 9, 6), (5, 7, 5)]}"
9,"{8: (True, 8.656296968460083), 6: (True, 1.3063781261444092), 7: (True, 0.9263379573822021), 5: (False, 2.5002377033233643)}",14.074513912200928,"['2', '7', '9', '3', '1', '5', '6', '8', '4']",430413,5,"{7: [(1, 2, 5), (1, 7, 1), (2, 7, 4), (3, 9, 7), (4, 6, 3), (5, 7, 6), (5, 8, 2)], 5: [(1, 2, 2), (2, 5, 4), (4, 9, 1), (5, 6, 3), (6, 8, 5)], 6: [(1, 5, 6), (2, 3, 1), (3, 5, 5), (4, 7, 2), (5, 7, 4), (7, 9, 3)]}"
