,details,elapsed_time,list,num_of_clauses,num_of_operations,operations
0,"{1: (False, 0.39082908630371094), 13: (True, 2.734147071838379), 7: (False, 42.771817207336426), 8: (True, 11.253458023071289)}",57.83907508850098,"['-5', '6', '-1', '2', '-3', '7', '4', '8']",423067,7,"{12: [(1, 1, 10), (1, 4, 4), (1, 7, 7), (1, 7, 8), (2, 7, 9), (3, 4, 1), (3, 4, 6), (4, 5, 2), (4, 5, 12), (4, 6, 5), (6, 7, 3), (7, 7, 11)], 7: [(1, 1, 3), (1, 2, 5), (1, 6, 4), (2, 7, 6), (4, 6, 2), (5, 5, 7), (6, 7, 1)]}"
1,"{1: (False, 0.4313809871673584), 14: (True, 10.731791019439697), 8: (False, 425.4211001396179), 9: (True, 25.65372323989868)}",463.0407929420471,"['6', '-7', '-1', '-2', '5', '-8', '-3', '-4']",458135,8,"{13: [(1, 3, 2), (1, 5, 12), (1, 6, 8), (1, 7, 9), (1, 8, 4), (2, 5, 1), (2, 5, 6), (2, 5, 7), (3, 4, 11), (3, 5, 5), (4, 4, 3), (4, 6, 13), (4, 7, 10)], 8: [(1, 2, 2), (1, 3, 4), (1, 7, 7), (1, 8, 6), (2, 3, 1), (2, 6, 3), (3, 7, 5), (5, 8, 8)]}"
2,"{1: (False, 0.4651038646697998), 15: (True, 11.703075170516968), 9: (True, 2.1818959712982178), 10: (True, 1.8056187629699707), 6: (False, 5.6013758182525635), 7: (False, 32.46983981132507), 8: (True, 1.000610113143921)}",56.08920192718506,"['-7', '-6', '-2', '8', '-1', '3', '5', '-4']",493203,7,"{14: [(1, 2, 11), (1, 4, 14), (1, 7, 7), (1, 8, 3), (2, 6, 5), (2, 7, 1), (2, 7, 10), (3, 5, 8), (3, 8, 12), (4, 4, 4), (4, 5, 2), (5, 8, 13), (6, 7, 6), (6, 8, 9)], 8: [(1, 2, 8), (1, 4, 3), (1, 5, 4), (1, 6, 6), (2, 7, 1), (2, 8, 2), (5, 8, 5), (6, 8, 7)], 9: [(1, 4, 5), (1, 7, 8), (1, 8, 4), (2, 5, 2), (2, 7, 1), (3, 4, 9), (3, 5, 3), (3, 8, 6), (4, 8, 7)], 7: [(1, 3, 3), (1, 7, 2), (3, 7, 6), (4, 6, 5), (4, 8, 1), (5, 6, 7), (6, 7, 4)]}"
3,"{1: (False, 0.41280603408813477), 13: (True, 2.45027494430542), 7: (True, 4.093839883804321), 8: (True, 0.9951229095458984), 4: (False, 0.537992000579834), 5: (False, 0.9417111873626709), 6: (True, 0.7892241477966309)}",10.97087812423706,"['1', '-2', '3', '-5', '-8', '4', '6', '7']",423067,5,"{12: [(1, 4, 4), (1, 5, 8), (1, 5, 10), (1, 8, 2), (1, 8, 6), (2, 2, 5), (2, 2, 9), (2, 2, 11), (2, 3, 3), (4, 6, 7), (4, 7, 12), (4, 8, 1)], 6: [(2, 2, 4), (4, 7, 3), (4, 8, 1), (5, 7, 5), (6, 8, 6), (7, 7, 2)], 7: [(2, 2, 3), (4, 5, 1), (5, 6, 5), (6, 7, 4), (7, 7, 7), (7, 8, 2), (8, 8, 6)], 5: [(2, 2, 1), (4, 6, 4), (4, 8, 2), (5, 6, 5), (5, 8, 3)]}"
4,"{1: (False, 0.46187400817871094), 15: (True, 1.641139030456543), 9: (True, 5.241633176803589), 10: (True, 5.973553895950317), 6: (False, 3.4737911224365234), 7: (False, 30.359272956848145), 8: (True, 2.1282799243927)}",50.26607298851013,"['-4', '-7', '1', '-8', '5', '6', '3', '2']",493203,7,"{14: [(1, 2, 2), (1, 3, 6), (1, 7, 3), (1, 7, 5), (1, 8, 7), (2, 4, 8), (3, 8, 11), (4, 7, 13), (4, 8, 1), (5, 8, 12), (6, 7, 9), (6, 8, 10), (7, 8, 14), (8, 8, 4)], 8: [(1, 2, 7), (1, 8, 1), (2, 2, 6), (2, 4, 8), (2, 6, 3), (3, 7, 5), (3, 8, 2), (4, 8, 4)], 9: [(1, 2, 7), (1, 4, 9), (2, 2, 1), (2, 3, 3), (2, 8, 5), (3, 6, 4), (3, 7, 2), (3, 8, 6), (7, 8, 8)], 7: [(1, 6, 1), (1, 8, 4), (2, 7, 7), (3, 8, 2), (3, 8, 6), (4, 5, 3), (6, 6, 5)]}"
5,"{1: (False, 0.4159107208251953), 14: (True, 14.600650072097778), 8: (False, 406.8387191295624), 9: (True, 7.690131187438965)}",430.2736270427704,"['4', '-1', '8', '7', '-6', '-3', '2', '-5']",458135,8,"{13: [(1, 4, 11), (1, 7, 13), (2, 2, 2), (2, 3, 4), (2, 7, 3), (3, 8, 6), (4, 6, 12), (5, 7, 1), (6, 7, 9), (6, 8, 5), (7, 8, 7), (7, 8, 8), (8, 8, 10)], 8: [(1, 2, 8), (2, 6, 4), (4, 7, 2), (5, 5, 1), (5, 7, 5), (5, 8, 3), (5, 8, 7), (6, 6, 6)]}"
6,"{1: (False, 0.4593169689178467), 15: (True, 1.8267879486083984), 9: (True, 3.140873908996582), 10: (True, 3.7524607181549072), 6: (False, 3.566406011581421), 7: (False, 30.317134857177734), 8: (True, 9.694500923156738)}",53.62852597236633,"['4', '7', '-6', '-5', '1', '-3', '8', '-2']",493203,7,"{14: [(1, 1, 9), (1, 5, 14), (2, 3, 8), (2, 7, 4), (4, 4, 12), (4, 8, 7), (4, 8, 10), (5, 6, 1), (5, 6, 6), (5, 7, 3), (5, 8, 5), (5, 8, 11), (8, 8, 2), (8, 8, 13)], 8: [(1, 3, 2), (1, 4, 1), (1, 7, 8), (1, 8, 5), (2, 6, 6), (2, 7, 7), (4, 7, 4), (7, 7, 3)], 9: [(1, 2, 2), (1, 4, 4), (1, 6, 3), (1, 6, 9), (2, 5, 5), (4, 7, 1), (5, 5, 7), (6, 8, 8), (7, 8, 6)], 7: [(1, 5, 5), (2, 2, 6), (2, 7, 4), (2, 8, 1), (3, 7, 2), (5, 5, 7), (5, 7, 3)]}"
7,"{1: (False, 0.5076000690460205), 16: (True, 4.639372110366821), 9: (True, 1.1566710472106934), 10: (True, 15.023891925811768), 6: (False, 4.178244113922119), 7: (False, 30.0135281085968), 8: (True, 1.3859961032867432)}",57.89809322357178,"['4', '6', '-1', '-5', '3', '-7', '2', '-8']",528271,7,"{15: [(1, 2, 14), (1, 3, 3), (1, 3, 8), (1, 5, 10), (1, 7, 2), (2, 6, 12), (2, 8, 5), (2, 8, 9), (3, 5, 7), (3, 5, 15), (3, 6, 1), (4, 5, 13), (5, 7, 4), (5, 8, 6), (6, 7, 11)], 8: [(1, 1, 7), (1, 3, 5), (2, 6, 4), (4, 4, 3), (4, 5, 1), (5, 5, 8), (6, 7, 6), (8, 8, 2)], 9: [(1, 3, 7), (1, 7, 4), (1, 8, 1), (1, 8, 2), (2, 6, 5), (2, 7, 9), (3, 4, 6), (6, 7, 8), (8, 8, 3)], 7: [(1, 3, 6), (2, 5, 4), (3, 4, 5), (3, 7, 3), (4, 7, 1), (4, 8, 7), (6, 8, 2)]}"
8,"{1: (False, 0.4320068359375), 14: (True, 11.497244119644165), 8: (True, 0.7916829586029053), 9: (True, 3.51633882522583), 5: (False, 0.9251711368560791), 6: (True, 0.6861088275909424)}",18.635265111923218,"['1', '-3', '-8', '-2', '-7', '4', '5', '6']",458135,5,"{13: [(1, 3, 8), (1, 6, 11), (1, 7, 9), (2, 4, 4), (2, 7, 3), (3, 4, 6), (3, 5, 2), (3, 8, 7), (3, 8, 13), (4, 7, 10), (4, 8, 5), (4, 8, 12), (5, 8, 1)], 7: [(1, 6, 5), (1, 8, 3), (1, 8, 6), (2, 3, 2), (2, 4, 4), (4, 7, 1), (4, 8, 7)], 5: [(2, 3, 1), (3, 8, 3), (4, 6, 2), (4, 7, 4), (4, 8, 5)]}"
9,"{1: (False, 0.46691203117370605), 15: (True, 10.956114292144775), 9: (True, 6.446145057678223), 10: (True, 7.98016619682312), 6: (False, 4.607831716537476), 7: (False, 29.92520785331726), 8: (True, 15.895894765853882)}",77.14591097831726,"['6', '-5', '-1', '-8', '-4', '7', '-2', '3']",493203,7,"{14: [(1, 2, 10), (1, 6, 9), (1, 8, 13), (2, 3, 12), (2, 5, 8), (2, 7, 4), (2, 7, 11), (3, 5, 5), (3, 7, 3), (3, 7, 7), (3, 7, 14), (4, 4, 6), (6, 8, 2), (7, 7, 1)], 8: [(1, 3, 2), (1, 8, 8), (2, 4, 3), (2, 7, 5), (4, 7, 4), (4, 8, 1), (4, 8, 6), (8, 8, 7)], 9: [(1, 1, 9), (1, 4, 5), (1, 5, 2), (1, 7, 1), (2, 2, 4), (3, 5, 8), (4, 8, 7), (5, 6, 3), (8, 8, 6)], 7: [(1, 1, 7), (1, 3, 5), (2, 2, 3), (2, 7, 4), (5, 7, 2), (6, 8, 6), (7, 8, 1)]}"
