,details,elapsed_time,list,num_of_clauses,num_of_operations,operations
0,"{9: (True, 1.6928932666778564), 5: (True, 0.8740363121032715), 6: (True, 0.8915410041809082), 4: (False, 0.9629950523376465)}",5.927566051483154,"['3', '2', '6', '5', '7', '1', '4', '10', '9', '8']",827412,4,"{8: [(1, 3, 1), (3, 5, 3), (4, 5, 6), (4, 7, 4), (5, 6, 2), (6, 7, 5), (6, 7, 7), (8, 10, 8)], 4: [(1, 3, 1), (3, 6, 2), (5, 7, 3), (8, 10, 4)], 5: [(1, 3, 1), (3, 4, 4), (3, 6, 3), (4, 7, 2), (8, 10, 5)]}"
1,"{9: (True, 1.6475920677185059), 6: (False, 29.651932954788208), 7: (True, 20.19223403930664)}",52.728776931762695,"['4', '1', '7', '10', '2', '5', '3', '9', '8', '6']",827412,6,"{8: [(1, 3, 1), (1, 3, 4), (2, 7, 5), (3, 6, 3), (3, 7, 2), (4, 10, 8), (5, 8, 7), (7, 9, 6)], 6: [(1, 2, 6), (2, 4, 1), (3, 7, 4), (4, 9, 3), (4, 10, 5), (6, 7, 2)]}"
2,"{9: (True, 1.0332038402557373), 7: (False, 253.09092712402344), 8: (True, 80.69090509414673)}",336.08965706825256,"['2', '10', '6', '1', '3', '9', '7', '5', '8', '4']",827412,7,"{8: [(1, 3, 2), (2, 3, 1), (2, 4, 5), (2, 10, 8), (3, 8, 6), (4, 6, 7), (6, 7, 3), (7, 9, 4)], 7: [(1, 4, 7), (2, 6, 1), (3, 10, 3), (4, 6, 4), (5, 8, 2), (8, 9, 5), (8, 10, 6)]}"
3,"{9: (True, 1.9549009799957275), 5: (False, 3.549625873565674), 6: (True, 3.667748212814331)}",10.547717809677124,"['6', '9', '4', '3', '2', '8', '7', '10', '1', '5']",827412,5,"{8: [(1, 2, 1), (1, 3, 3), (2, 9, 4), (3, 6, 2), (3, 6, 6), (5, 7, 7), (7, 8, 5), (8, 10, 8)], 5: [(1, 6, 2), (2, 7, 5), (2, 10, 1), (4, 10, 3), (7, 10, 4)]}"
4,"{9: (True, 7.287292003631592), 6: (False, 29.578046083450317), 7: (True, 18.761538982391357)}",56.93685507774353,"['10', '8', '2', '7', '5', '4', '9', '1', '3', '6']",827412,6,"{8: [(1, 7, 3), (1, 10, 5), (2, 7, 6), (2, 9, 1), (2, 10, 8), (4, 5, 2), (5, 8, 4), (6, 10, 7)], 6: [(1, 8, 6), (2, 6, 4), (3, 6, 2), (6, 7, 1), (6, 9, 3), (8, 10, 5)]}"
5,"{9: (True, 1.01263427734375), 7: (False, 290.678462266922), 8: (True, 1.8909361362457275)}",294.84248185157776,"['3', '8', '1', '7', '10', '5', '9', '4', '2', '6']",827412,7,"{8: [(1, 3, 1), (2, 4, 4), (4, 5, 7), (4, 6, 6), (4, 8, 2), (5, 10, 8), (7, 8, 5), (7, 9, 3)], 7: [(1, 3, 2), (2, 4, 5), (4, 6, 3), (4, 6, 6), (5, 8, 4), (5, 9, 1), (5, 10, 7)]}"
6,"{9: (True, 1.018265724182129), 5: (False, 4.806056976318359), 6: (True, 4.734216928482056)}",11.825150966644287,"['6', '9', '8', '1', '7', '3', '5', '4', '2', '10']",827412,5,"{8: [(1, 4, 8), (2, 4, 2), (3, 5, 6), (4, 7, 3), (4, 7, 7), (4, 8, 1), (5, 7, 5), (7, 9, 4)], 5: [(1, 3, 3), (2, 9, 5), (3, 5, 2), (3, 7, 4), (4, 7, 1)]}"
7,"{9: (True, 10.27901005744934), 6: (False, 24.84845495223999), 7: (False, 320.7219738960266), 8: (True, 14.34934115409851)}",371.5297453403473,"['2', '7', '6', '4', '10', '5', '3', '9', '1', '8']",827412,7,"{8: [(1, 2, 4), (1, 9, 5), (2, 8, 1), (2, 8, 8), (5, 6, 2), (5, 10, 6), (6, 10, 7), (8, 9, 3)], 7: [(1, 2, 5), (1, 5, 4), (1, 6, 7), (2, 8, 2), (3, 6, 3), (4, 10, 6), (6, 10, 1)]}"
8,"{9: (True, 6.197112083435059), 6: (False, 33.431073904037476), 7: (True, 8.523254156112671)}",49.40024495124817,"['4', '3', '6', '2', '7', '5', '9', '10', '8', '1']",827412,6,"{8: [(1, 8, 1), (1, 9, 8), (2, 6, 4), (3, 7, 3), (4, 7, 6), (4, 10, 2), (7, 10, 5), (7, 10, 7)], 6: [(1, 4, 1), (3, 6, 3), (3, 7, 4), (5, 8, 2), (5, 10, 6), (7, 10, 5)]}"
9,"{9: (True, 29.494450092315674), 7: (False, 316.7938401699066), 8: (True, 18.981900930404663)}",366.60126185417175,"['10', '6', '3', '7', '9', '2', '8', '4', '1', '5']",827412,7,"{8: [(1, 5, 4), (1, 6, 7), (1, 8, 2), (3, 8, 5), (3, 10, 3), (4, 7, 1), (5, 9, 6), (6, 9, 8)], 7: [(1, 3, 3), (1, 5, 4), (2, 8, 1), (3, 8, 6), (5, 7, 5), (5, 10, 2), (8, 9, 7)]}"
