,details,elapsed_time,list,num_of_clauses,num_of_operations,operations
0,"{1: (False, 0.42127275466918945), 15: (True, 52.86615514755249), 9: (True, 21.498744249343872), 10: (True, 8.244373321533203), 6: (False, 5.838565826416016), 7: (False, 56.268566846847534), 8: (False, 946.5072548389435)}",1092.4904668331146,"['3', '8', '6', '1', '-2', '5', '4', '-7']",493203,8,"{14: [(1, 2, 6), (1, 4, 1), (1, 5, 7), (1, 8, 9), (2, 2, 2), (2, 2, 11), (2, 5, 5), (2, 8, 3), (2, 8, 10), (3, 5, 12), (4, 6, 4), (4, 6, 8), (5, 8, 13), (6, 7, 14)], 8: [(1, 3, 5), (1, 4, 8), (1, 5, 2), (2, 3, 7), (2, 6, 4), (2, 7, 6), (4, 6, 1), (7, 8, 3)], 9: [(1, 3, 8), (1, 6, 2), (2, 8, 7), (3, 3, 5), (4, 7, 6), (5, 5, 1), (5, 5, 3), (5, 6, 4), (6, 8, 9)]}"
1,"{1: (False, 0.5297579765319824), 17: (True, 10.392890214920044), 10: (True, 23.923758029937744), 11: (True, 15.812723159790039), 7: (False, 57.92897391319275), 8: (False, 984.8890609741211), 9: (True, 10.940576076507568)}",1105.7014849185944,"['6', '4', '1', '-5', '-3', '8', '2', '7']",563339,8,"{16: [(1, 1, 15), (1, 2, 7), (2, 3, 8), (2, 7, 6), (3, 5, 5), (3, 8, 4), (4, 4, 16), (4, 5, 3), (4, 5, 9), (4, 8, 11), (5, 6, 1), (5, 6, 13), (5, 8, 10), (6, 6, 14), (6, 7, 12), (6, 8, 2)], 9: [(1, 3, 8), (1, 6, 4), (2, 2, 1), (3, 4, 9), (3, 7, 2), (3, 7, 5), (3, 8, 3), (4, 4, 6), (5, 7, 7)], 10: [(1, 1, 3), (1, 3, 2), (1, 6, 9), (1, 8, 8), (3, 4, 4), (3, 4, 10), (3, 7, 1), (4, 6, 7), (4, 8, 5), (4, 8, 6)], 8: [(1, 1, 2), (1, 3, 7), (2, 5, 4), (3, 5, 5), (3, 7, 6), (3, 8, 1), (4, 8, 3), (7, 7, 8)]}"
2,"{1: (False, 0.49898314476013184), 17: (True, 9.795598983764648), 10: (True, 7.658464193344116), 11: (True, 19.765475034713745), 7: (False, 55.7753472328186), 8: (True, 5.159962892532349)}",99.60183501243591,"['-8', '-4', '6', '1', '5', '-3', '-7', '-2']",563339,7,"{16: [(1, 2, 13), (1, 4, 4), (1, 5, 2), (1, 6, 1), (1, 7, 10), (1, 8, 9), (1, 8, 16), (2, 8, 14), (3, 5, 12), (3, 6, 8), (3, 8, 3), (4, 8, 5), (4, 8, 7), (5, 5, 15), (5, 7, 11), (6, 8, 6)], 9: [(1, 5, 3), (1, 7, 9), (2, 7, 6), (2, 8, 4), (4, 5, 1), (4, 8, 7), (4, 8, 8), (5, 7, 2), (6, 8, 5)], 10: [(1, 2, 3), (1, 2, 6), (1, 3, 5), (1, 8, 8), (2, 5, 4), (2, 8, 9), (3, 7, 1), (4, 8, 10), (5, 6, 2), (5, 7, 7)], 7: [(1, 5, 5), (1, 8, 6), (3, 5, 3), (4, 5, 1), (4, 5, 4), (5, 7, 2), (5, 8, 7)]}"
3,"{1: (False, 0.37436676025390625), 14: (True, 20.203306913375854), 8: (True, 6.16307258605957), 9: (True, 12.06155014038086), 5: (False, 1.3444278240203857), 6: (True, 1.3987338542938232)}",42.324321031570435,"['-1', '5', '2', '7', '3', '4', '6', '8']",458135,5,"{13: [(1, 2, 3), (1, 2, 10), (2, 3, 6), (2, 6, 4), (2, 8, 1), (2, 8, 8), (2, 8, 11), (3, 3, 13), (3, 8, 9), (5, 5, 5), (5, 7, 2), (5, 7, 12), (6, 8, 7)], 7: [(1, 5, 1), (1, 6, 3), (2, 5, 5), (3, 8, 4), (4, 7, 2), (4, 8, 6), (8, 8, 7)], 8: [(1, 2, 8), (1, 5, 1), (2, 4, 3), (2, 6, 6), (3, 3, 5), (3, 8, 4), (4, 6, 2), (5, 8, 7)], 5: [(1, 4, 1), (1, 6, 5), (3, 7, 2), (4, 7, 4), (5, 6, 3)]}"
4,"{1: (False, 0.46321892738342285), 16: (True, 7.412437915802002), 9: (True, 10.905810832977295), 10: (True, 17.06370711326599), 6: (False, 8.076215982437134), 7: (True, 6.123667001724243)}",50.9110312461853,"['5', '2', '-8', '7', '-3', '-1', '-4', '-6']",528271,6,"{15: [(1, 2, 6), (1, 2, 10), (1, 3, 3), (1, 4, 5), (1, 4, 15), (1, 6, 9), (1, 7, 11), (1, 8, 1), (3, 5, 14), (3, 7, 2), (3, 7, 7), (4, 6, 8), (5, 8, 4), (6, 7, 13), (6, 8, 12)], 8: [(1, 6, 8), (2, 5, 3), (2, 5, 5), (2, 5, 7), (3, 8, 2), (4, 7, 1), (4, 7, 6), (6, 8, 4)], 9: [(1, 5, 4), (1, 5, 9), (2, 6, 2), (3, 7, 6), (4, 7, 1), (5, 6, 7), (6, 6, 3), (7, 8, 5), (7, 8, 8)], 6: [(1, 6, 6), (2, 4, 4), (2, 5, 3), (3, 3, 5), (4, 7, 2), (6, 8, 1)]}"
5,"{1: (False, 0.44072890281677246), 15: (True, 7.5293869972229), 9: (True, 44.527209997177124), 10: (True, 14.848883867263794), 6: (False, 8.921500205993652), 7: (False, 50.17453694343567), 8: (False, 1214.7021119594574)}",1341.981704235077,"['7', '6', '3', '8', '-1', '-5', '4', '2']",493203,8,"{14: [(1, 6, 3), (1, 6, 14), (1, 8, 10), (1, 8, 13), (3, 5, 2), (3, 6, 8), (3, 7, 6), (3, 8, 1), (4, 4, 5), (4, 7, 7), (4, 7, 12), (5, 6, 9), (5, 7, 11), (5, 8, 4)], 8: [(1, 3, 5), (2, 4, 7), (2, 5, 1), (2, 5, 4), (3, 5, 8), (3, 7, 3), (5, 6, 6), (5, 8, 2)], 9: [(1, 5, 7), (1, 7, 8), (2, 4, 5), (2, 6, 9), (4, 7, 3), (4, 8, 6), (6, 6, 4), (6, 7, 1), (7, 8, 2)]}"
6,"{1: (False, 0.48339390754699707), 16: (True, 18.547953128814697), 9: (True, 1.0096068382263184), 10: (True, 30.95470690727234), 6: (False, 7.7145538330078125), 7: (False, 71.76004695892334), 8: (False, 993.3216009140015)}",1124.7493600845337,"['-4', '-2', '8', '-7', '-5', '3', '6', '-1']",528271,8,"{15: [(1, 2, 1), (1, 2, 9), (1, 4, 6), (1, 4, 7), (1, 6, 14), (1, 8, 4), (2, 3, 3), (2, 4, 13), (2, 5, 12), (2, 8, 2), (2, 8, 10), (3, 3, 15), (4, 6, 8), (4, 7, 5), (6, 7, 11)], 8: [(1, 8, 6), (2, 5, 1), (2, 5, 8), (2, 6, 4), (3, 3, 2), (4, 4, 7), (4, 5, 3), (5, 8, 5)], 9: [(1, 8, 9), (2, 6, 1), (3, 6, 3), (3, 8, 6), (4, 4, 5), (4, 5, 2), (5, 8, 4), (6, 6, 7), (7, 8, 8)]}"
7,"{1: (False, 0.4416961669921875), 15: (True, 25.59669589996338), 9: (True, 38.317471981048584), 10: (True, 10.138747215270996), 6: (False, 5.917052984237671), 7: (False, 45.28377604484558), 8: (True, 9.516709089279175)}",136.07930612564087,"['-4', '8', '6', '1', '-2', '3', '5', '-7']",493203,7,"{14: [(1, 2, 13), (1, 3, 4), (1, 5, 9), (1, 6, 1), (1, 6, 11), (2, 4, 6), (2, 6, 5), (2, 8, 3), (3, 3, 10), (3, 6, 12), (3, 7, 2), (6, 6, 7), (7, 8, 14), (8, 8, 8)], 8: [(1, 6, 4), (2, 2, 2), (3, 8, 8), (4, 7, 1), (4, 7, 5), (5, 7, 7), (5, 8, 3), (8, 8, 6)], 7: [(1, 5, 2), (1, 5, 4), (1, 6, 6), (1, 7, 3), (4, 4, 5), (5, 5, 7), (7, 8, 1)]}"
8,"{1: (False, 0.4322168827056885), 15: (True, 11.288672924041748), 9: (True, 1.7148070335388184), 10: (True, 4.293184041976929), 6: (False, 5.44598913192749), 7: (True, 11.093287706375122)}",35.1278190612793,"['8', '1', '-7', '-2', '6', '3', '-4', '5']",493203,6,"{14: [(1, 6, 7), (1, 7, 2), (2, 4, 10), (2, 7, 11), (3, 4, 9), (3, 5, 1), (3, 7, 5), (4, 4, 8), (4, 5, 14), (4, 8, 4), (4, 8, 6), (5, 6, 13), (6, 8, 12), (7, 7, 3)], 7: [(1, 7, 6), (1, 8, 7), (2, 7, 2), (3, 4, 5), (4, 7, 4), (5, 5, 3), (8, 8, 1)], 9: [(1, 7, 4), (1, 8, 8), (2, 2, 2), (2, 3, 6), (2, 4, 1), (2, 5, 3), (3, 5, 5), (3, 8, 9), (8, 8, 7)], 6: [(1, 1, 2), (1, 2, 4), (2, 5, 1), (2, 8, 3), (4, 5, 6), (7, 7, 5)]}"
9,"{1: (False, 0.3866910934448242), 14: (True, 37.84681010246277), 8: (True, 1.5102012157440186), 9: (True, 23.459033966064453), 5: (False, 3.1301119327545166), 6: (False, 9.750050067901611), 7: (False, 91.87420010566711)}",168.76480317115784,"['1', '-4', '-2', '7', '6', '3', '-5', '-8']",458135,7,"{13: [(1, 2, 7), (1, 2, 12), (2, 3, 6), (2, 4, 13), (2, 6, 2), (2, 6, 4), (4, 5, 10), (4, 6, 1), (4, 8, 3), (4, 8, 9), (5, 7, 11), (5, 8, 5), (6, 6, 8)], 7: [(2, 5, 4), (2, 8, 1), (3, 8, 5), (4, 7, 6), (5, 6, 3), (5, 8, 7), (8, 8, 2)], 8: [(2, 5, 1), (2, 5, 7), (2, 8, 2), (4, 5, 5), (5, 5, 3), (5, 8, 6), (5, 8, 8), (7, 8, 4)]}"
