,details,elapsed_time,list,num_of_clauses,num_of_operations,operations
0,"{2: (True, 0.07304811477661133)}",0.1858527660369873,"['1', '2', '3', '5', '4', '6']",33897,1,"{1: [(4, 5, 1)]}"
1,"{5: (False, 0.45929408073425293)}",0.5823311805725098,"['2', '4', '1', '6', '3', '5']",33897,5,{}
2,"{5: (True, 0.23168063163757324), 3: (False, 0.09314608573913574), 4: (True, 0.18020915985107422)}",0.6388719081878662,"['1', '3', '5', '6', '2', '4']",33897,3,"{4: [(1, 3, 2), (1, 6, 4), (3, 4, 1), (3, 6, 3)], 3: [(2, 3, 1), (3, 5, 2), (4, 6, 3)]}"
3,"{5: (True, 0.24518990516662598), 2: (False, 0.030901193618774414), 3: (False, 0.09270286560058594), 4: (True, 0.19118595123291016)}",0.6960749626159668,"['2', '3', '1', '6', '5', '4']",33897,3,"{4: [(1, 2, 2), (1, 4, 3), (2, 4, 1), (4, 6, 4)], 3: [(1, 6, 2), (2, 6, 1), (3, 6, 3)]}"
4,"{5: (True, 0.2284998893737793), 4: (False, 0.1942739486694336)}",0.6091809272766113,"['6', '3', '5', '1', '4', '2']",33897,4,"{4: [(1, 2, 3), (1, 3, 1), (2, 6, 2), (4, 5, 4)]}"
5,"{5: (True, 0.2418076992034912), 2: (False, 0.03536796569824219), 3: (True, 0.11058616638183594)}",0.5800237655639648,"['6', '5', '4', '3', '1', '2']",33897,2,"{4: [(1, 5, 1), (1, 6, 2), (2, 6, 3), (5, 6, 4)], 2: [(1, 6, 1), (5, 6, 2)]}"
6,"{5: (True, 0.25655698776245117), 2: (False, 0.03046584129333496), 3: (False, 0.09843683242797852), 4: (True, 0.18672490119934082)}",0.7347221374511719,"['4', '3', '5', '6', '1', '2']",33897,3,"{4: [(1, 2, 4), (1, 6, 2), (3, 6, 1), (5, 6, 3)], 3: [(1, 4, 2), (3, 6, 3), (5, 6, 1)]}"
7,"{5: (True, 0.23414301872253418), 3: (False, 0.09147334098815918), 4: (True, 0.19447612762451172)}",0.6541838645935059,"['3', '1', '4', '5', '6', '2']",33897,3,"{4: [(1, 3, 1), (2, 5, 3), (3, 5, 2), (5, 6, 4)], 3: [(1, 2, 3), (2, 6, 2), (3, 6, 1)]}"
8,"{5: (True, 0.22878718376159668), 3: (False, 0.11127090454101562), 4: (True, 0.18778514862060547)}",0.675976037979126,"['2', '4', '6', '5', '1', '3']",33897,3,"{4: [(1, 2, 4), (1, 5, 2), (2, 4, 3), (3, 6, 1)], 3: [(1, 2, 1), (2, 4, 2), (3, 6, 3)]}"
9,"{5: (True, 0.2591109275817871), 3: (False, 0.09627890586853027), 4: (True, 0.1880178451538086)}",0.6810839176177979,"['1', '5', '2', '4', '6', '3']",33897,3,"{4: [(2, 3, 4), (3, 4, 3), (3, 6, 2), (4, 6, 1)], 3: [(2, 3, 2), (3, 5, 1), (5, 6, 3)]}"
10,"{5: (True, 0.22809386253356934), 2: (False, 0.028981924057006836), 3: (True, 0.10445094108581543)}",0.561593770980835,"['1', '2', '5', '6', '4', '3']",33897,2,"{4: [(1, 2, 2), (1, 6, 1), (1, 6, 3), (3, 6, 4)], 2: [(3, 4, 2), (3, 6, 1)]}"
11,"{5: (True, 0.23122477531433105), 3: (False, 0.09485697746276855), 4: (True, 0.19492292404174805)}",0.6960229873657227,"['2', '3', '5', '4', '6', '1']",33897,3,"{3: [(1, 6, 3), (2, 6, 2), (4, 5, 1)]}"
12,"{5: (True, 0.2562079429626465), 3: (False, 0.10856914520263672), 4: (True, 0.18967580795288086)}",0.7344770431518555,"['4', '2', '1', '5', '6', '3']",33897,3,"{4: [(1, 5, 4), (1, 6, 1), (3, 6, 2), (5, 6, 3)], 3: [(1, 4, 1), (2, 6, 3), (3, 6, 2)]}"
13,"{5: (True, 0.24432778358459473), 3: (False, 0.0997779369354248), 4: (True, 0.20708107948303223)}",0.6965517997741699,"['3', '2', '6', '4', '1', '5']",33897,3,"{4: [(1, 3, 4), (1, 6, 1), (2, 5, 2), (5, 6, 3)], 3: [(1, 3, 1), (3, 5, 3), (5, 6, 2)]}"
14,"{5: (True, 0.24110174179077148), 3: (False, 0.11210298538208008), 4: (False, 0.21069836616516113)}",0.7209222316741943,"['3', '5', '2', '1', '6', '4']",33897,4,"{4: [(1, 3, 2), (2, 4, 1), (2, 5, 3), (5, 6, 4)]}"
