,elapsed_time,list,num_of_clauses,num_of_operations
0,169.63936495780945,"['5', '6', '7', '10', '11', '2', '9', '3', '8', '1', '4']",1491597,5
1,171.54514527320862,"['8', '1', '4', '6', '11', '5', '10', '9', '2', '3', '7']",1491597,5
2,178.05225610733032,"['10', '6', '8', '2', '5', '3', '1', '4', '9', '11', '7']",1491597,4
3,184.55820083618164,"['4', '8', '2', '6', '1', '10', '11', '3', '9', '7', '5']",1491597,5
4,112.22443699836731,"['2', '10', '1', '11', '8', '3', '4', '9', '6', '7', '5']",1491597,5
5,137.65914392471313,"['8', '3', '4', '11', '2', '10', '1', '6', '9', '7', '5']",1491597,5
6,164.80138397216797,"['8', '4', '3', '5', '1', '6', '9', '10', '7', '11', '2']",1491597,5
7,122.20255899429321,"['1', '8', '11', '3', '5', '10', '2', '4', '9', '6', '7']",1491597,4
8,246.67567110061646,"['7', '10', '8', '5', '3', '9', '11', '2', '1', '4', '6']",1491597,5
9,226.2445318698883,"['4', '6', '3', '1', '2', '10', '11', '8', '7', '5', '9']",1491597,4
